R472544,R757887
R754734,R866363
R877992,R969153
R232642,R404688
R529270,R445127
R824495,R368861
R496955,R894194
R361263,R717742
R821055,R870349
R120232,R183816
R543526,R959687
R794009,R253138
R610738,R491763
R566983,R243445
R296393,R682865
R295937,R668764
R588045,R610615
R249266,R764914
R992230,R957176
R614880,R146320
R390607,R873931
R229033,R180534
R962162,R496336
R587619,R841355
R327187,R609336
R859903,R568667
R238019,R197819
R520105,R171759
R418326,R640200
R682875,R989038
R153059,R733157
R590663,R411042
R501154,R243918
R233758,R586242
R921699,R353611
R548297,R835759
R684386,R673785
R950671,R195461
R711563,R698896
R655019,R655163
R463472,R214659
R204169,R637913
R198223,R893471
R190549,R641780
R725735,R640015
R394520,R425354
R796521,R440139
R663171,R793391
R342573,R299022
R736488,R433587
R839871,R558389
R665587,R973165
R563882,R459809
R934716,R306383
R187578,R681229
R663416,R688902
R454031,R329077
R215373,R247511
R315835,R827201
R243254,R495096
R421600,R438656
R279046,R915829
R500982,R871227
R344065,R549646
R387594,R342971
R906230,R381931
R458198,R402676
R836635,R401774
R127077,R119313
R653620,R531081
R408419,R387868
R199568,R859911
R945495,R554166
R701715,R121020
R635733,R384330
R523978,R865174
R235133,R540699
R717653,R957693
R390709,R496598
R685647,R225173
R694611,R712565
R272024,R379637
R229598,R716870
R790968,R579824
R749205,R604591
R994690,R236522
R415293,R708520
R954833,R366703
R453680,R485181
R500714,R782300
R576526,R758159
R630199,R610325
R699923,R831823
R638972,R626040
R246678,R659943
R376689,R356464
R961861,R787185
R656287,R350406
R690089,R236457
R167749,R247605
R323629,R165238
R438600,R647074
R734366,R259849
R395556,R903961
R197294,R856762
R987353,R723734
R365413,R575228
R902290,R660370
R945480,R215930
R200673,R525654
R674915,R455949
R695896,R315045
R846597,R621171
R754285,R457175
R772181,R584086
R663831,R986571
R446290,R369772
R885393,R482211
R412752,R850189
R535665,R777890
R267562,R571791
R650242,R619610
R741770,R865166
R815701,R562883
R192424,R323328
R252038,R905210
R653118,R458486
R774034,R593677
R957754,R920431
R628871,R149656
R657545,R886770
R155184,R527429
R514307,R850855
R658326,R370264
R636151,R176070
R407040,R510043
R614862,R552825
R545242,R315884
R651920,R843089
R751917,R225111
R642483,R204721
R752801,R976192
R300105,R887017
R131267,R439818
R966813,R237744
R434649,R360864
R965995,R655357
R360527,R731946
R428635,R957272
R609932,R669699
R532436,R208897
R648631,R782137
R173006,R626377
R624921,R397224
R667735,R580116
R391586,R938060
R597831,R405421
R986613,R911690
R476523,R778068
R487695,R942018
R356422,R691454
R900999,R397907
R896100,R907974
R200252,R190604
R854674,R647949
R381436,R202442
R252376,R832681
R962230,R390696
R452467,R883685
R293349,R563625
R844900,R886942
R397169,R534060
R859113,R823374
R680233,R287386
R888163,R689392
R369205,R249252
R482518,R925755
R426913,R368091
R944626,R346222
R271792,R536765
R618542,R282638
R218939,R247301
R186129,R502794
R610942,R612646
R813924,R516777
R999181,R127958
R889522,R285637
R380465,R368996
R674203,R351679
R554335,R712555
R584150,R633709
R116934,R809550
R826781,R665370
R667096,R644695
R535377,R680917
R600156,R454486
R683296,R838240
R550620,R479750
R325199,R866827
R384005,R875182
R278944,R263909
R831443,R190472
R815352,R593968
R635470,R318818
R231363,R819266
R474123,R475062
R241045,R855180
R906211,R273874
R514916,R808085
R547270,R608378
R484120,R904197
R698958,R273102
R907150,R552961
R570075,R534054
R405651,R377628
R110624,R346136
R155727,R973523
R982363,R805442
R519111,R409579
R759739,R532909
R876770,R876031
R510873,R479703
R284849,R329215
R528405,R234302
R885148,R403561
R455358,R239144
R789059,R130410
R653800,R753582
R812553,R424561
R643742,R299265
R995346,R718840
R668674,R861064
R880789,R838081
R710814,R294633
R545050,R427071
R419886,R777855
R227154,R800283
R534943,R674978
R475978,R296372
R669414,R268065
R994512,R172353
R491796,R583540
R687827,R765086
R427143,R815687
R259286,R283537
R239967,R373736
R783598,R762674
R949647,R424979
R521513,R484499
R159265,R263308
R378073,R563122
R621548,R934059
R834200,R378656
R923704,R228266
R720027,R301749
R659960,R900917
R510666,R967740
R516947,R834887
R675689,R528118
R584594,R761144
R295676,R322847
R125343,R800971
R761053,R195982
R414661,R407751
R662854,R981789
R310218,R935066
R829908,R942339
R244406,R508184
R808127,R288957
R201312,R418145
R146030,R276457
R669390,R688393
R427619,R575683
R755684,R398150
R799551,R261068
R800020,R454954
R823604,R443910
R976811,R866728
R731041,R364163
R551219,R770987
R565495,R506637
R307184,R120064
R172416,R201165
R316946,R923477
R518910,R186899
R183857,R838370
R129624,R597809
R989238,R105338
R551355,R112383
R804749,R933417
R730573,R619674
R410878,R392045
R929011,R729333
R989291,R138573
R335307,R384635
R963771,R146264
R908333,R827106
R264328,R638459
R213694,R818005
R290808,R102883
R104830,R404763
R927991,R215394
R351049,R539889
R789340,R377228
R252114,R208227
R443729,R666545
R591069,R493614
R462667,R621743
R180434,R865906
R115107,R394564
R620319,R897722
R336284,R506562
R748262,R209643
R853040,R520900
R700974,R642129
R849066,R839111
R505526,R294988
R336953,R305173
R508724,R819506
R354232,R790934
R889438,R525428
R675110,R431782
R928199,R565467
R919478,R392142
R281104,R957545
R743142,R497420
R426572,R936329
R735351,R152285
R226316,R890188
R128757,R595904
R611776,R521722
R188102,R613368
R173264,R397102
R675312,R860699
R357776,R537412
R684042,R286601
R517524,R896945
R627753,R549022
R283462,R725876
R341485,R444768
R923083,R740738
R890722,R528212
R119549,R816415
R456814,R921429
R175961,R721705
R418284,R920916
R213760,R916169
R932478,R753312
R633558,R479822
R724611,R199403
R915734,R596765
R569413,R654555
R995662,R131334
R733177,R763558
R329156,R224454
R591334,R612371
R393378,R772046
R662427,R437273
R982506,R361948
R709755,R698673
R410689,R234220
R103084,R873609
R336825,R671188
R671740,R619204
R839685,R567859
R236106,R938497
R452574,R551620
R388039,R466329
R803675,R477395
R891500,R932605
R447291,R727524
R930566,R239002
R368769,R716093
R915414,R618370
R269455,R658187
R830495,R873245
R301554,R408327
R548871,R770509
R636813,R971257
R223235,R747521
R679789,R395188
R313821,R520972
R202408,R934741
R544116,R836846
R649884,R952242
R774144,R593953
R953697,R698406
R149922,R397859
R863688,R803610
R660008,R504704
R234738,R920992
R765804,R325205
R378185,R876376
R875716,R823364
R419937,R843595
R759199,R851796
R442021,R344176
R169869,R808427
R316753,R273214
R860347,R965383
R724557,R993361
R292851,R470988
R962289,R460146
R663048,R357900
R699011,R627326
R900429,R646215
R389597,R254500
R936136,R579696
R298858,R150037
R572203,R996312
R689645,R318888
R822051,R631665
R243690,R621818
R778674,R858823
R569133,R858835
R640147,R182838
R521544,R548343
R281250,R332530
R302849,R443406
R238235,R381641
R760757,R651688
R758386,R603923
R378783,R408793
R320403,R316858
R907908,R469865
R682064,R277080
R659616,R547969
R629364,R647096
R583516,R222538
R572593,R646817
R190079,R888959
R102604,R891985
R512036,R621471
R703660,R185310
R783219,R960170
R845759,R863768
R206772,R185524
R505073,R564262
R448043,R404259
R311437,R785832
R883772,R126054
R662931,R361011
R154727,R503067
R592137,R459647
R611949,R652528
R822990,R956700
R822201,R534755
R473223,R140056
R196391,R801646
R443841,R124811
R675368,R676005
R195205,R147135
R939388,R360136
R399555,R708354
R904831,R175001
R445507,R220870
R766971,R997199
R136127,R318130
R269614,R297857
R174340,R962204
R148617,R572837
R676679,R892770
R114700,R523386
R354545,R683110
R761168,R576753
R374802,R523152
R239378,R453862
R796438,R638984
R424507,R645904
R927067,R223046
R182999,R772911
R764665,R360835
R735828,R768586
R423663,R798005
R437684,R588881
R431760,R973639
R522268,R115833
R919178,R999358
R704613,R722624
R520583,R685586
R761703,R959354
R946384,R463259
R376853,R548457
R385067,R550926
R489996,R566430
R463489,R112322
R438466,R207321
R640926,R201252
R405334,R165857
R341681,R997568
R654897,R271702
R559346,R627987
R802972,R510484
R154934,R652870
R593730,R292905
R609550,R944606
R880296,R371844
R424681,R288468
R222140,R829213
R329719,R598048
R569331,R626899
R250785,R942042
R414732,R810839
R407729,R669164
R326667,R112590
R629135,R747131
R704001,R415144
R962184,R786417
R865301,R845902
R952252,R436448
R310669,R385855
R277729,R764198
R368852,R843124
R898929,R864308
R636517,R860049
R717046,R263143
R398895,R569601
R364249,R292765
R163012,R768709
R896141,R975526
R209968,R613762
R928236,R619784
R643920,R955293
R559179,R795421
R133000,R730192
R354450,R472477
R203352,R344758
R404081,R530427
R153248,R254536
R811293,R390310
R451877,R780505
R872872,R107861
R663409,R968871
R534031,R544111
R173403,R280900
R557689,R570407
R167489,R243499
R560880,R304842
R319961,R936351
R703459,R452556
R912809,R588292
R931979,R543838
R582223,R871857
R685735,R286125
R100185,R127149
R799014,R613427
R478756,R847222
R483935,R984603
R199929,R612208
R459316,R125830
R466364,R844314
R596334,R912989
R851130,R481945
R180551,R977900
R154871,R343081
R176432,R455634
R117329,R780108
R462677,R394644
R553184,R542830
R999946,R564912
R111302,R170207
R455662,R504135
R298723,R545930
R324436,R767004
R640670,R524554
R523250,R844103
R289474,R137136
R952942,R556624
R912962,R578786
R222924,R939509
R299103,R228455
R369363,R736338
R572663,R579564
R183412,R854131
R145273,R440339
R668200,R646891
R457240,R852023
R842126,R235005
R793139,R548896
R337103,R316168
R332698,R848126
R243992,R551649
R374074,R173122
R931067,R726782
R726021,R287531
R150811,R626998
R867477,R764622
R465455,R463150
R200609,R619407
R383417,R906492
R802492,R554694
R939259,R111400
R882683,R473402
R503341,R661452
R745371,R345902
R550864,R848380
R905085,R782570
R879920,R325106
R401831,R782337
R482348,R161538
R173173,R782567
R409081,R152136
R858701,R611099
R769755,R536443
R988312,R183281
R567573,R806043
R987066,R519579
R790922,R375933
R832538,R112037
R905114,R978467
R704511,R319331
R245142,R506502
R849273,R181940
R617604,R276988
R527237,R148861
R484215,R983629
R269357,R272325
R137327,R777580
R242207,R981332
R598791,R615522
R733819,R136702
R987387,R514272
R297776,R927169
R287293,R394990
R727350,R572781
R390199,R940962
R348172,R438991
R947718,R513214
R510864,R466637
R147218,R726947
R718583,R572921
R726840,R558281
R211781,R134235
R608339,R996607
R886236,R610496
R480018,R440610
R780954,R450466
R670977,R892135
R127861,R956715
R924868,R406353
R170393,R249802
R751431,R986152
R798001,R875249
R127893,R172257
R115917,R656944
R721466,R738256
R693622,R148798
R437140,R261775
R271500,R145187
R888226,R483091
R225727,R137666
R786847,R337625
R540348,R439433
R120041,R783997
R297394,R799704
R661111,R846930
R798714,R948194
R760310,R956729
R963729,R927614
R963006,R778031
R913626,R373421
R489055,R482939
R833928,R101235
R548072,R639064
R272674,R479797
R948722,R883077
R577458,R598187
R277288,R457361
R919028,R252912
R525078,R595072
R870007,R884371
R277714,R194158
R167737,R996009
R149014,R438618
R947194,R518000
R637796,R150958
R240443,R161683
R253851,R660482
R547999,R819190
R711936,R167898
R446788,R700611
R150463,R503388
R846628,R277857
R316371,R690672
R720442,R656693
R203914,R964659
R919056,R620474
R302378,R502738
R436013,R809112
R113114,R963841
R547900,R479306
R869268,R161743
R305848,R881867
R706178,R645034
R844499,R467947
R876012,R811733
R350159,R211362
R922978,R858825
R270951,R284045
R563880,R260344
R404375,R850313
R283009,R176137
R115990,R886210
R882602,R392036
R603366,R508500
R366427,R670321
R698974,R353076
R591623,R980893
R826373,R876933
R187040,R118895
R497535,R505629
R667236,R603508
R926799,R985193
R959391,R517880
R138585,R811309
R266907,R354715
R618993,R383508
R983727,R892001
R936300,R821525
R913582,R182045
R214691,R664018
R705591,R927569
R273049,R899525
R739019,R578455
R226613,R119681
R211144,R236195
R471594,R580967
R605163,R161854
R398606,R374691
R353923,R822774
R104985,R365426
R925281,R662134
R528270,R268471
R219783,R812790
R880573,R427282
R926525,R225721
R877826,R569527
R384743,R579761
R603577,R130093
R593200,R372597
R869573,R523191
R298894,R150914
R139265,R251849
R111362,R251925
R199549,R805201
R729070,R665322
R640483,R758936
R860696,R535741
R152997,R328052
R976989,R302020
R258003,R195746
R841278,R501806
R208768,R288120
R962131,R415232
R275397,R326635
R119937,R909797
R248015,R122703
R607253,R391372
R566561,R681748
R672722,R551324
R339201,R413106
R358831,R470487
R601433,R188719
R670771,R412145
R948776,R298075
R151699,R143841
R326340,R278488
R458694,R991477
R565643,R798242
R309492,R853213
R406348,R648426
R808362,R739616
R883844,R511836
R632197,R687073
R265053,R596377
R566397,R302445
R803234,R127867
R199131,R135009
R482217,R610164
R895510,R886948
R618397,R274588
R992099,R780858
R129930,R410616
R791955,R901870
R996368,R132739
R752528,R246549
R395357,R694077
R485681,R447433
R495298,R244331
R195742,R745761
R850088,R566092
R500932,R932501
R561497,R808921
R174247,R304708
R977666,R351861
R321216,R412206
R583789,R284584
R594974,R869273
R491166,R295524
R235557,R900184
R854469,R169151
R626053,R175104
R323765,R368833
R322418,R371710
R425755,R130437
R924594,R168562
R859099,R872673
R545990,R457581
R269597,R780176
R246152,R755909
R954537,R776428
R776258,R199430
R319048,R114287
R337955,R568605
R528644,R388166
R916685,R855601
R374258,R198196
R625762,R657883
R376061,R888491
R811605,R182035
R592341,R252914
R992039,R369480
R902921,R310587
R519228,R108000
R367270,R394626
R459820,R554465
R812774,R492054
R667419,R842494
R342191,R607542
R249617,R467641
R324884,R330001
R944967,R286996
R425459,R176567
R795941,R896245
R936439,R566434
R900827,R361371
R218360,R222664
R712690,R772874
R159208,R194515
R611105,R219706
R846652,R312780
R292077,R107110
R525802,R848519
R196399,R602218
R811910,R538644
R404906,R690951
R390865,R938817
R917538,R534340
R625537,R748248
R505449,R415527
R822452,R593378
R862878,R817849
R931470,R497278
R575931,R612370
R260571,R815694
R932511,R382462
R766287,R491076
R802894,R228745
R511664,R477814
R917530,R275758
R302526,R739955
R434441,R453642
R534749,R667762
R175614,R683353
R505881,R294828
R634568,R845332
R807987,R870077
R219233,R988458
R323042,R887070
R352387,R722590
R461293,R105737
R560169,R752574
R186922,R223660
R235378,R209549
R944324,R723764
R591099,R277224
R994773,R373529
R177122,R494533
R205359,R212686
R626389,R523710
R697900,R582639
R215439,R915359
R664753,R371351
R729745,R862747
R735779,R815499
R828920,R653975
R845747,R784326
R851593,R153460
R302509,R634540
R361621,R733138
R760125,R775290
R712203,R905385
R145357,R395474
R600273,R816766
R152313,R163602
R127312,R555366
R957430,R107535
R575593,R218376
R186308,R260797
R546037,R838113
R980973,R543502
R531369,R776966
R361649,R702529
R513368,R868751
R311092,R819555
R840360,R517948
R437250,R547676
R903079,R190282
R297474,R504603
R776347,R302984
R108688,R355687
R927387,R274125
R625035,R361950
R681867,R133484
R117654,R351832
R469861,R223816
R134527,R162745
R534781,R501236
R101814,R677198
R786510,R354429
R357466,R310046
R233845,R487705
R684482,R750226
R316773,R251309
R666445,R237871
R330165,R659059
R462732,R881022
R949687,R946409
R131362,R735571
R338316,R906170
R169661,R912246
R327171,R156615
R886724,R144974
R363008,R726406
R647033,R441957
R273890,R323764
R169566,R155072
R390007,R295853
R412884,R438578
R954395,R725290
R287767,R563251
R570490,R482234
R541358,R586154
R637653,R909735
R736281,R159026
R132404,R424377
R193933,R761122
R451619,R455274
R295033,R642763
R891928,R134848
R405775,R333688
R778567,R938041
R995373,R709997
R296407,R882568
R958219,R232755
R860964,R282857
R238497,R786263
R684805,R917489
R912864,R551455
R535315,R288558
R800819,R135550
R696818,R248772
R674901,R401904
R171875,R502509
R162861,R147203
R288524,R295205
R938664,R218232
R744652,R563112
R445509,R648614
R272442,R656314
R853436,R658965
R731515,R613793
R878835,R558317
R258618,R808974
R395288,R991274
R326017,R862590
R310161,R399754
R236344,R127188
R655301,R697646
R786515,R767735
R813587,R625119
R639593,R439620
R339635,R985234
R331207,R822510
R977751,R126582
R417031,R652478
R108780,R204719
R117420,R619988
R993646,R798011
R256500,R396752
R441507,R824397
R450379,R498165
R754044,R405660
R186643,R969970
R489833,R717285
R294729,R752901
R488626,R337905
R231561,R199333
R289890,R410693
R290420,R761344
R453817,R340583
R751195,R890885
R443076,R368750
R736159,R933972
R805091,R316785
R853290,R155064
R926597,R729200
R948573,R499878
R783988,R555548
R732502,R344064
R578527,R752098
R422460,R559905
R501089,R589957
R717070,R555160
R753385,R498187
R603403,R945223
R635078,R871705
R710017,R268086
R580545,R814008
R414305,R537644
R939505,R458538
R228832,R293020
R516418,R163076
R290628,R448885
R933329,R592414
R893872,R264762
R126388,R389090
R691949,R894233
R134051,R494187
R988945,R708650
R183203,R395206
R316082,R647496
R427312,R603639
R886498,R673743
R949250,R486471
R150062,R412224
R128157,R373572
R618103,R432179
R903322,R772368
R160223,R330194
R637584,R213438
R677332,R900118
R531648,R415044
R993747,R353727
R443177,R581898
R553944,R486167
R809817,R828386
R297342,R242859
R744434,R102096
R486265,R518338
R852100,R671020
R325237,R246387
R369565,R361849
R705295,R709231
R461155,R446267
R667484,R188926
R606586,R989263
R787509,R134467
R616343,R465676
R185511,R248705
R608117,R625147
R996832,R216700
R391125,R195944
R175552,R783827
R234272,R255285
R815402,R951799
R271981,R150242
R714434,R993009
R872987,R866499
R258910,R856719
R896413,R680381
R313844,R116538
R261190,R178584
R945352,R993920
R660054,R851355
R949864,R837596
R429942,R596370
R535148,R813352
R894685,R121044
R553510,R266742
R254221,R784825
R832392,R617868
R801504,R842817
R539621,R201197
R775497,R425540
R516432,R287285
R584606,R240396
R895002,R376476
R519115,R383977
R782838,R378957
R385387,R146162
R117852,R141003
R616974,R197712
R503858,R480907
R346426,R653972
R576709,R755358
R142215,R112922
R413805,R602364
R291027,R779079
R364744,R149079
R115837,R541080
R491909,R228771
R833794,R639480
R924692,R540762
R876716,R675816
R653230,R687356
R929013,R203605
R447927,R454836
R768900,R389118
R505622,R366012
R435578,R714597
R871330,R688651
R500413,R678322
R813809,R459652
R764114,R869180
R549562,R831937
R560804,R329495
R876056,R995551
R351099,R203508
R810868,R770810
R405849,R600124
R491093,R516690
R339836,R986614
R840807,R718735
R871304,R548693
R837215,R716919
R519625,R349260
R857966,R759927
R832047,R768789
R916085,R188413
R792804,R805690
R308048,R163292
R228739,R798289
R914601,R357420
R292523,R457890
R314139,R595695
R954603,R159975
R947295,R811512
R884714,R173377
R826783,R237602
R579405,R601470
R175510,R913622
R509390,R976664
R188293,R777665
R854005,R665336
R738970,R230787
R119689,R475048
R841306,R177328
R863008,R999806
R588116,R370379
R512286,R396601
R671926,R329714
R346686,R459615
R586640,R893194
R981279,R720734
R711214,R812073
R595074,R722700
R151946,R686095
R597260,R645654
R188698,R728057
R800084,R694509
R113087,R672937
R309468,R571933
R506777,R646037
R453740,R561084
R433245,R396140
R723351,R164660
R374533,R238261
R410136,R345045
R430577,R483811
R355995,R101941
R403767,R262913
R385274,R873100
R453751,R145905
R351743,R746175
R601679,R118034
R892799,R680995
R107478,R693882
R400989,R531944
R468350,R743577
R856176,R479345
R140693,R696179
R511593,R879579
R437716,R281450
R364037,R765401
R708718,R555547
R367837,R662725
R221136,R640082
R160660,R330023
R120243,R662411
R910590,R108964
R505315,R706649
R972190,R898001
R560417,R441079
R465109,R888878
R945423,R817283
R895288,R820523
R645477,R709741
R574543,R413290
R460702,R478061
R663145,R487258
R919895,R904695
R312386,R605355
R560674,R683827
R949245,R710642
R227400,R290852
R674247,R817496
R809364,R948995
R490883,R931839
R398396,R464776
R539971,R792278
R271701,R507640
R332239,R123399
R554558,R564646
R837594,R895699
R671959,R128380
R690405,R887996
R193925,R269214
R700774,R513568
R169814,R749795
R104974,R426565
R431982,R298855
R462315,R945274
R491012,R189057
R430091,R104470
R114416,R953423
R253846,R947403
R386612,R958482
R920292,R360916
R586531,R756340
R202570,R136385
R462245,R814522
R740425,R376054
R762935,R788488
R682684,R568771
R734603,R469346
R249365,R787208
R770237,R474615
R973898,R697233
R706859,R315828
R114635,R965292
R417422,R690711
R514892,R577925
R755370,R762474
R260754,R755394
R914240,R732373
R840300,R628252
R570636,R662299
R979698,R762162
R447651,R794750
R571969,R235550
R552482,R529242
R778082,R570831
R279737,R245464
R569296,R806824
R473443,R257733
R770632,R915207
R262587,R790204
R240036,R729099
R982847,R113559
R661058,R607278
R253904,R738007
R462767,R636829
R313315,R363841
R444008,R551020
R127626,R605449
R634221,R224457
R910285,R149807
R451427,R771633
R323503,R952790
R141621,R434825
R103082,R633838
R525982,R355817
R731673,R757998
R498904,R196354
R693290,R809344
R128750,R106299
R184471,R700398
R146752,R526728
R548614,R885431
R593340,R465322
R884110,R602540
R260901,R478396
R270815,R825714
R164570,R777375
R317149,R607860
R492768,R125695
R687828,R273847
R527490,R900796
R732918,R463955
R602093,R233815
R827026,R494358
R577214,R638324
R509520,R228885
R303896,R620093
R669739,R257998
R905697,R325337
R932540,R616569
R858059,R921455
R806414,R687524
R555613,R409152
R762933,R936984
R383704,R143705
R448246,R992918
R148429,R177403
R482200,R959887
R948073,R716988
R667337,R351294
R545274,R965055
R287211,R585525
R829455,R104232
R125773,R861912
R864118,R265385
R803958,R491178
R386378,R924237
R736683,R122785
R365847,R500159
R484595,R423622
R171269,R777794
R438617,R566036
R756497,R807211
R504368,R683826
R598977,R834643
R621312,R940272
R962390,R138095
R328381,R475449
R455439,R322555
R276887,R741359
R679834,R717265
R287769,R605034
R762193,R570795
R888119,R558755
R574605,R765382
R980157,R707628
R223461,R729886
R313055,R106672
R567637,R743964
R303749,R353694
R441004,R531054
R478105,R692213
R888688,R834946
R189937,R978909
R367291,R447066
R973678,R554431
R846067,R831542
R193152,R232275
R875187,R405409
R544736,R574827
R601737,R481270
R266678,R345126
R596716,R384891
R338006,R260178
R498597,R314426
R776005,R786458
R571820,R805752
R451480,R272199
R133340,R931196
R600331,R811682
R582992,R388030
R428949,R214785
R962016,R264526
R105323,R522639
R472607,R530396
R337221,R970177
R143331,R106823
R291713,R934683
R870923,R255041
R180396,R999272
R303721,R657702
R368620,R492183
R256164,R119049
R241048,R364652
R627001,R547363
R276716,R829162
R339391,R711141
R510213,R527083
R627740,R289925
R469763,R742261
R522092,R235130
R603544,R362430
R400885,R231679
R204653,R933149
R269616,R871114
R568322,R123952
R118353,R376922
R906059,R536051
R650216,R978497
R953198,R520788
R843880,R304079
R861514,R674979
R588253,R291665
R253995,R770014
R417062,R588127
R970387,R622307
R461072,R697016
R850195,R408226
R481786,R238310
R748306,R750902
R113116,R507126
R660765,R987360
R191970,R409738
R252636,R985732
R795390,R238686
R691833,R609029
R962080,R744392
R600023,R123852
R869906,R429545
R774710,R857540
R601582,R430312
R825057,R923346
R539333,R361038
R519913,R811826
R307612,R758924
R572094,R564817
R405213,R406751
R246122,R975557
R686066,R458905
R502343,R194241
R370366,R943235
R659500,R569134
R356443,R457104
R785128,R391479
R306307,R969942
R599785,R846474
R291468,R342028
R700754,R588382
R308544,R761471
R658768,R455927
R406405,R403583
R316517,R982731
R839494,R553884
R432440,R981876
R830695,R659156
R634075,R373675
R466342,R762596
R919006,R216063
R745674,R387966
R596028,R891368
R423638,R968415
R984775,R205968
R400702,R137616
R650699,R350078
R640228,R968925
R399050,R373406
R935468,R905733
R337763,R276428
R605357,R271566
R153660,R446812
R483391,R520954
R549209,R724102
R504404,R167975
R797837,R342972
R171367,R479542
R189382,R927794
R519374,R110435
R753803,R434022
R944216,R870190
R376523,R673432
R225930,R998148
R867165,R934506
R806034,R605984
R342353,R558393
R958895,R274294
R749059,R366089
R182998,R274676
R690513,R605373
R556644,R815906
R374441,R480851
R818345,R723640
R164264,R618547
R149128,R885294
R846080,R487427
R600697,R110695
R730186,R249024
R798639,R140058
R887550,R241862
R991248,R274160
R663085,R765622
R984196,R255284
R984610,R162705
R894308,R790367
R851812,R289017
R768206,R270255
R609242,R809576
R392501,R457980
R579428,R989071
R701598,R136740
R478989,R116643
R589293,R111517
R627495,R150867
R785672,R707764
R693118,R984874
R485319,R247033
R234543,R214249
R950094,R620954
R343731,R967599
R490504,R113112
R610618,R478461
R859775,R725800
R812947,R189739
R844876,R968410
R583203,R533485
R815123,R963202
R892291,R286311
R979941,R217289
R250149,R289808
R551174,R193384
R509605,R156181
R973204,R379930
R904741,R316107
R398278,R410211
R731636,R820140
R944215,R912848
R524150,R492490
R488348,R891790
R871351,R683503
R402041,R440539
R507926,R534971
R222138,R848234
R771273,R751096
R168897,R919978
R752703,R356289
