R908402,R659473
R186533,R872852
R696264,R903028
R308448,R790958
R785637,R246541
R299680,R412185
R500409,R627438
R196213,R417111
R269325,R740735
R591501,R620028
R313448,R265111
R248400,R726534
R588832,R687506
R474178,R320652
R657556,R101243
R761498,R554962
R533578,R202246
R357870,R483201
R876775,R343552
R875536,R287548
R370476,R219335
R720818,R672914
R236083,R112538
R950604,R345612
R167208,R487498
R384899,R902556
R545380,R226477
R548415,R365952
R571803,R155871
R796173,R593323
R756088,R677063
R561822,R662354
R280220,R436234
R100661,R634058
R886241,R830229
R383226,R657754
R852036,R636132
R636531,R648457
R242671,R891276
R502386,R837755
R129240,R747618
R593212,R860434
R119392,R504428
R943756,R901008
R471533,R535613
R900147,R364054
R827844,R994102
R354091,R391141
R548999,R484478
R745967,R684619
R529463,R763480
R467409,R503592
R430683,R354474
R925588,R361498
R972162,R754061
R842775,R302150
R903780,R887702
R469448,R732076
R154321,R445117
R663363,R647538
R241355,R767939
R809883,R577149
R901200,R296354
R721351,R429517
R217496,R209468
R507364,R702833
R315823,R334289
R324902,R202855
R363109,R801137
R728816,R519239
R913982,R771363
R437225,R642537
R326590,R426283
R681296,R946195
R345125,R646491
R577447,R892864
R319189,R718783
R793328,R536790
R310015,R873024
R168011,R826074
R706346,R839239
R259511,R314396
R848574,R420244
R498202,R860249
R191264,R751044
R796785,R209778
R121544,R934903
R236834,R733227
R945334,R210856
R136992,R668043
R223332,R446573
R693581,R805515
R417062,R588127
R503012,R279487
R348412,R196492
R910846,R967212
R567190,R433166
R958219,R232755
R897163,R122747
R424648,R364288
R645614,R610893
R883335,R306186
R558588,R781307
R916551,R129831
R303437,R431535
R156221,R234828
R726144,R520856
R327608,R393767
R626838,R766993
R432587,R934019
R110678,R257140
R900346,R207587
R787782,R206154
R867194,R149917
R500915,R388183
R605250,R514573
R973374,R917422
R845572,R453181
R408445,R444192
R907254,R680144
R791503,R398644
R581305,R480423
R157922,R516778
R913391,R453403
R827935,R858230
R624599,R737404
R697772,R913340
R628486,R706122
R924540,R926364
R692898,R173687
R946028,R345487
R418326,R640200
R732272,R267216
R180265,R853120
R435816,R918501
R122800,R330758
R306167,R594270
R190522,R881790
R651518,R125481
R596275,R879307
R376848,R854140
R545741,R989817
R720830,R742551
R118215,R414184
R361502,R660540
R668180,R576710
R478148,R368676
R152669,R719205
R526307,R341534
R789542,R420316
R549891,R352076
R421111,R544245
R630119,R411600
R664407,R301651
R935326,R184824
R205388,R988655
R105539,R491484
R753631,R385379
R523032,R717127
R867269,R212493
R667003,R937396
R779582,R911865
R652300,R304530
R171668,R808467
R379588,R787803
R537827,R992839
R618293,R618195
R485284,R977205
R822283,R892182
R459720,R529366
R631425,R658074
R508536,R882576
R654378,R972006
R416081,R640301
R837532,R191575
R231002,R659155
R482067,R540577
R974138,R798460
R608342,R935400
R166180,R469424
R923538,R813692
R570220,R464196
R657421,R157162
R835918,R197874
R186857,R436933
R576015,R669885
R141089,R339204
R316204,R809207
R901505,R662137
R661532,R669679
R630877,R323312
R336510,R723636
R953432,R198491
R564651,R201444
R582118,R773285
R601580,R869286
R693132,R743307
R614765,R215526
R474123,R475062
R645276,R201591
R162975,R164130
R991455,R345739
R461072,R697016
R700602,R795508
R830654,R480103
R878617,R877147
R855167,R873256
R865291,R369951
R254205,R230500
R765477,R530764
R929505,R373959
R120416,R358684
R717571,R696685
R246269,R914193
R257615,R756492
R693965,R100895
R980116,R401519
R604235,R947949
R422419,R618903
R364691,R598409
R322533,R669680
R923899,R798941
R664753,R371351
R741284,R283532
R273607,R184837
R892443,R488897
R960686,R495372
R352287,R677522
R347470,R477220
R399824,R349895
R464912,R249247
R748505,R166261
R575913,R600892
R779668,R481924
R489738,R326809
R442199,R546760
R523849,R314252
R164600,R831162
R764585,R660939
R504386,R489477
R206652,R428504
R333133,R384075
R394158,R870596
R344050,R874439
R859572,R565395
R573690,R253761
R838646,R631702
R780710,R240715
R331284,R812526
R820115,R895579
R543669,R290745
R766757,R757388
R721423,R288022
R321447,R795088
R263562,R340139
R538131,R116581
R233041,R924693
R350159,R211362
R830287,R570764
R845296,R429567
R212502,R633907
R647967,R740974
R763546,R793076
R375173,R887369
R309813,R900518
R245632,R820291
R359384,R275600
R127994,R265179
R384972,R456714
R862526,R647710
R806170,R345622
R341886,R996443
R254091,R288903
R335531,R541246
R540932,R488425
R704503,R997526
R188488,R251599
R270673,R767361
R423625,R821090
R982815,R859404
R376287,R591058
R978830,R633526
R289320,R381610
R988527,R698644
R174412,R437846
R594917,R756150
R437511,R553986
R110480,R661774
R706190,R821930
R311021,R823050
R345794,R558838
R759928,R695480
R699751,R720925
R652223,R623955
R612492,R722842
R190508,R623134
R860041,R844779
R344065,R549646
R499444,R792154
R492969,R115810
R157003,R929263
R408263,R971970
R522853,R982284
R535946,R126874
R457111,R996524
R772643,R305644
R295013,R860213
R672846,R872807
R148700,R398193
R705461,R684531
R252466,R648506
R777801,R867620
R317923,R329992
R663254,R506731
R672606,R261563
R547069,R126397
R157377,R713632
R618278,R917906
R356863,R419001
R997695,R560230
R738255,R316189
R835764,R867873
R338356,R356339
R704449,R768947
R573298,R265834
R858579,R737788
R811121,R999241
R417208,R822777
R177861,R194210
R744733,R779140
R936412,R172543
R235289,R510862
R592875,R419399
R885423,R166126
R647338,R226338
R781349,R849173
R685564,R630152
R552345,R386499
R253272,R863340
R631721,R726697
R836653,R518420
R812699,R428331
R446968,R886041
R149657,R870170
R778128,R925919
R704978,R316253
R241048,R364652
R185650,R710562
R870875,R170644
R883145,R455833
R907001,R565957
R308952,R580616
R503858,R480907
R631685,R991509
R802057,R554978
R908092,R745517
R143842,R328468
R360974,R117325
R940297,R919638
R725102,R974801
R918263,R692231
R333399,R972242
R395602,R268190
R856630,R396505
R659197,R754837
R520482,R899950
R630306,R753397
R557078,R843049
R475978,R296372
R857048,R217877
R646785,R588900
R736323,R430797
R366015,R510478
R165509,R182708
R789012,R310792
R733880,R592711
R885453,R565454
R957903,R229783
R544368,R984312
R847482,R971783
R796727,R548156
R333735,R469265
R802529,R480720
R849970,R891068
R462513,R538642
R606859,R433265
R186361,R556765
R828069,R234428
R207888,R587278
R917187,R173002
R492572,R939069
R969837,R428756
R606697,R853780
R179960,R482360
R794294,R872454
R700884,R596335
R619551,R229504
R652734,R834471
R259411,R156000
R919292,R680209
R776081,R562508
R423998,R220179
R514954,R880680
R133164,R774887
R492915,R197571
R262767,R609529
R781900,R227534
R936789,R955912
R148019,R958471
R427985,R904377
R492186,R212809
R617534,R111039
R755368,R642926
R806181,R318982
R580824,R426022
R752169,R626864
R938370,R660456
R609677,R548877
R638804,R415575
R432360,R522213
R807033,R695968
R487304,R896048
R648504,R758449
R872812,R154501
R737699,R930294
R681257,R226540
R647493,R647550
R855170,R732997
R685289,R553266
R176037,R798390
R402530,R728451
R559211,R599032
R330092,R448553
R729834,R731050
R316946,R923477
R960210,R218969
R747979,R446231
R725804,R917636
R961293,R876842
R670470,R278879
R563057,R464153
R969029,R127907
R567010,R570659
R385346,R906569
R218255,R142276
R336936,R198823
R598078,R615060
R592247,R717234
R527052,R362646
R247267,R216602
R555347,R908953
R132290,R939067
R244488,R188609
R168976,R933397
R563602,R769102
R639153,R437128
R121396,R434369
R117304,R236728
R796039,R796307
R706044,R346091
R768961,R747465
R555065,R295229
R629378,R291612
R541279,R722313
R624021,R892263
R360885,R241895
R158510,R338466
R630385,R281315
R655018,R447349
R260006,R646061
R818750,R869365
R798276,R674035
R500752,R636452
R772662,R490532
R499022,R117939
R980414,R372250
R680975,R123707
R249474,R202061
R536415,R453989
R688383,R270543
R574063,R107692
R731249,R694037
R680764,R584288
R884051,R733799
R690525,R553542
R409237,R795532
R466802,R737482
R921064,R430595
R532300,R106141
R623807,R133475
R620785,R227327
R561434,R269186
R282782,R114650
R460567,R814658
R170608,R570658
R693349,R220687
R969071,R560000
R220799,R504116
R640537,R505939
R951848,R138969
R457506,R630996
R565458,R180392
R230922,R173558
R686060,R336120
R339445,R831495
R377204,R324061
R840043,R911006
R993928,R275569
R806685,R971564
R739217,R976217
R226876,R447431
R429187,R396646
R909386,R505863
R111049,R110887
R988182,R774972
R435759,R874497
R116446,R908695
R669783,R644328
R824324,R816000
R683158,R122674
R115677,R782930
R344248,R753873
R776932,R650023
R185410,R403912
R756868,R982660
R682753,R228749
R316589,R663163
R140460,R950732
R517778,R675541
R329802,R104217
R180191,R742025
R935357,R853710
R695706,R521821
R781755,R708210
R323248,R608485
R757243,R261728
R163856,R985816
R640613,R904806
R321088,R674159
R991612,R215232
R278554,R734661
R993550,R160358
R888163,R689392
R681073,R880014
R745998,R135490
R504114,R784110
R533729,R907553
R256809,R728551
R873713,R996812
R943107,R497742
R966442,R141185
R968935,R750150
R756900,R758350
R603921,R143485
R239280,R717872
R236597,R173207
R133552,R691620
R831759,R738996
R679530,R274330
R832158,R891430
R318534,R249406
R887548,R814054
R261007,R625586
R478785,R455449
R991201,R288821
R110852,R699963
R447113,R893953
R490662,R972969
R370794,R593445
R310161,R399754
R191935,R235029
R368852,R843124
R107135,R140861
R673579,R112902
R558280,R920114
R686145,R280547
R859085,R291827
R742595,R456229
R687074,R678046
R934945,R441602
R730389,R758352
R144688,R339704
R426751,R609138
R148238,R155817
R562225,R192636
R236269,R571918
R516970,R950071
R596564,R354517
R940433,R816335
R159208,R194515
R914702,R864364
R726590,R555173
R285767,R601281
R107527,R610042
R361232,R367838
R275676,R776449
R855416,R319422
R417532,R670722
R326042,R317348
R642483,R204721
R626042,R907753
R128936,R679838
R132106,R124357
R166780,R727283
R463990,R657191
R397816,R301348
R187138,R354986
R387563,R157980
R831731,R156124
R725915,R753115
R944348,R514031
R551821,R208718
R981530,R575962
R938009,R628661
R376503,R527973
R703484,R476742
R185487,R515211
R156400,R589166
R267448,R289898
R971727,R198981
R867020,R388330
R867213,R686243
R163802,R605090
R267426,R604802
R532243,R450309
R806068,R707909
R716042,R932382
R935954,R429661
R585968,R534378
R752948,R513537
R332647,R792524
R117977,R642169
R437035,R436164
R986850,R338337
R362084,R985398
R626766,R709486
R493850,R603022
R645048,R343556
R875991,R845100
R210533,R441817
R765819,R876270
R655166,R542654
R104701,R958938
R932524,R290493
R837792,R267171
R550886,R287097
R235345,R330201
R484452,R627975
R881719,R748904
R294148,R888625
R484917,R633954
R854463,R815419
R478206,R204781
R441970,R981078
R395722,R131733
R271042,R618704
R388203,R754011
R242802,R108335
R629577,R589047
R574178,R527480
R655729,R357251
R375017,R574656
R617159,R176016
R146797,R488125
R140954,R787842
R511610,R518819
R403262,R147706
R828909,R309542
R735764,R612429
R200895,R522527
R720140,R687535
R786369,R178963
R648901,R434593
R760758,R583435
R436628,R782308
R972266,R854479
R107269,R496256
R661744,R913651
R949302,R549762
R466297,R224989
R367093,R143528
R587896,R981109
R259601,R177827
R967911,R934806
R278173,R778421
R900343,R498483
R854134,R358654
R466843,R984705
R192468,R359107
R580036,R354049
R554425,R317688
R329706,R643280
R465161,R812437
R559491,R395774
R591744,R128746
R566008,R178495
R445896,R334318
R877596,R656362
R600109,R384935
R378389,R810063
R234905,R428755
R125894,R602815
R141820,R749870
R218939,R247301
R231093,R308911
R225100,R852393
R726902,R910703
R122796,R763407
R902097,R293078
R648316,R223788
R809865,R930826
R517740,R802603
R164634,R680446
R267380,R251249
R969870,R827738
R600141,R146506
R699931,R671949
R280746,R327704
R150911,R893986
R390936,R203616
R527954,R430423
R410107,R227333
R404382,R766832
R381204,R977400
R112546,R289743
R320820,R951466
R815650,R689771
R299974,R183646
R351942,R149688
R845566,R740548
R437660,R135416
R381436,R202442
R489996,R566430
R656237,R812332
R202953,R503633
R112099,R650357
R539759,R808522
R617252,R436836
R408642,R112996
R876644,R953841
R699443,R377682
R136532,R129150
R718681,R394454
R408117,R833654
R715665,R199711
R997288,R221435
R498632,R707009
R273957,R118409
R539712,R666585
R798169,R887814
R184471,R700398
R325300,R371731
R682913,R848816
R336709,R737964
R789115,R791780
R482347,R314168
R454382,R896546
R907150,R552961
R490300,R174132
R788853,R300881
R181604,R786576
R724870,R577730
R775865,R876373
R393506,R936892
R192725,R912194
R833739,R280195
R923255,R903078
R760518,R204585
R906031,R545435
R956630,R204269
R586319,R631331
R809856,R748382
R675158,R401088
R869012,R653392
R854269,R126976
R206234,R688641
R487170,R965835
R463143,R756926
R673832,R944502
R696089,R898655
R778170,R697224
R960772,R207760
R828778,R430199
R286396,R411500
R203866,R466123
R486472,R548741
R917893,R532842
R991725,R634301
R808488,R894878
R600009,R857950
R536180,R545774
R183314,R345098
R879187,R280753
R689154,R289334
R923600,R455943
R939980,R980214
R486870,R868314
R163953,R871584
R807708,R322888
R324584,R647941
R965227,R635391
R138811,R271845
R653811,R799556
R999446,R682355
R291320,R244449
R308544,R761471
R575935,R461048
R394844,R270918
R540180,R192846
R223268,R960688
R965424,R430452
R213997,R166987
R758308,R431933
R872967,R656503
R951847,R573873
R829686,R101365
R569981,R442575
R165522,R414927
R876711,R874348
R143900,R535139
R527915,R205087
R784511,R950024
R884362,R711567
R828927,R419649
R547984,R463277
R469117,R672945
R909140,R428010
R601991,R764718
R447890,R720619
R892854,R576802
R391088,R800200
R520100,R652020
R672180,R340465
R242183,R210629
R630781,R624911
R347852,R784480
R996276,R991241
R133737,R842680
R602561,R500394
R792860,R973808
R462381,R479312
R488958,R302943
R104365,R639746
R826251,R135580
R261319,R882900
R165245,R471035
R773286,R673968
R991157,R471351
R731813,R879688
R892998,R585293
R991765,R927564
R668484,R536866
R939025,R261589
R805499,R148719
R851334,R746810
R276163,R774784
R471204,R828996
R769140,R935870
R720487,R401866
R756810,R306946
R400084,R882865
R444674,R129476
R831478,R915425
R894993,R290382
R854030,R160125
R413115,R857775
R905259,R266924
R315290,R834782
R258917,R486858
R863655,R392415
R144950,R372273
R456059,R804753
R387545,R644185
R754871,R202228
R926423,R705298
R349839,R702486
R710015,R675900
R152723,R145271
R451809,R505730
R520551,R172996
R607810,R496561
R677142,R310946
R363252,R844531
R709812,R120718
R970373,R119570
R941220,R468370
R616018,R979584
R311091,R987071
R320266,R140488
R567566,R999815
R437924,R310147
R769811,R891586
R193354,R810858
R760190,R639589
R720936,R250920
R785903,R215575
R660904,R115116
R232218,R545557
R908535,R480683
R131486,R999451
R278095,R167854
R549116,R994600
R586643,R388281
R702248,R687178
R724584,R280672
R124297,R752894
R916423,R318691
R410810,R872428
R171318,R110709
R464509,R249826
R390709,R496598
R208226,R704040
R191759,R905251
R606599,R345931
R288191,R978233
R702744,R930704
R297059,R460302
R226836,R218749
R848948,R667631
R272841,R341340
R628455,R690782
R874108,R453140
R462694,R728765
R454104,R117808
R106160,R736009
R487983,R130838
R152078,R677631
R519625,R349260
R665867,R696773
R938622,R579667
R465771,R967104
R480724,R830490
R175510,R913622
R303009,R601978
R597377,R793904
R567933,R639632
R878859,R658006
R286797,R829414
R332010,R754125
R825643,R909045
R563896,R633318
R484120,R904197
R201744,R481747
R435578,R714597
R709596,R539940
R793961,R538403
R147222,R656158
R159071,R902622
R375879,R752743
R490758,R311585
R280275,R692519
R951291,R332305
R384432,R687246
R562759,R109717
R800218,R932164
R682265,R261802
R109020,R763240
R241060,R603301
R270876,R645468
R372483,R939616
R516782,R731889
R501917,R378397
R691320,R987754
R113364,R969799
R272352,R479640
R736949,R664266
R766737,R906194
R238254,R929591
R809817,R828386
R191686,R974597
R376040,R212915
R612562,R166623
R349802,R179615
R631688,R990006
R533661,R943273
R918992,R128928
R905762,R505340
R440988,R930337
R438903,R378959
R900210,R341336
R265390,R559688
R592399,R575665
R276308,R955866
R362513,R801724
R291087,R320103
R528399,R601693
R437446,R342176
R665927,R475925
R691442,R993737
R907095,R196077
R456307,R718112
R306977,R968502
R983992,R664844
R203104,R970978
R556284,R311795
R229325,R109567
R988688,R500556
R890613,R448011
R366530,R319486
R381981,R480760
R464657,R306907
R629404,R740868
R411516,R360119
R215373,R247511
R350083,R108018
R115011,R888028
R903397,R279488
R871890,R511398
R169814,R749795
R438664,R687609
R621159,R403424
R278355,R492044
R721684,R136352
R612404,R726120
R704981,R284452
R694270,R700848
R596228,R274375
R345299,R160659
R620232,R787401
R313821,R520972
R981846,R430575
R360995,R451502
R696417,R764831
R791569,R266089
R250025,R718143
R261125,R985434
R503276,R585413
R215940,R146074
R476366,R488290
R360884,R231469
R704703,R949642
R873352,R418342
R657109,R144519
R912864,R551455
R548068,R635284
R318877,R314248
R229502,R839941
R374212,R834618
R534217,R919102
R858644,R251271
R744495,R331335
R711873,R109629
R873685,R183792
R367569,R156846
R908129,R308786
R988275,R941555
R886822,R331079
R157674,R134456
R544312,R195854
R558846,R545601
R436165,R330344
R526939,R150942
R914335,R620364
R226587,R514135
R754336,R239666
R160084,R677802
R875709,R805716
R303547,R422303
R478100,R612277
R913082,R468035
R380959,R733100
R690840,R776545
R685859,R654442
R752979,R452560
R350062,R255641
R159310,R306054
R696263,R789958
R450247,R143552
R476459,R823602
R341011,R871021
R675319,R804039
R761252,R188389
R676265,R687439
R973777,R394216
R345591,R438040
R155212,R958896
R180894,R221217
R213821,R505954
R727345,R749569
R913739,R571963
R833742,R682942
R448755,R978138
R487963,R960128
R764331,R409123
R438873,R767490
R935136,R503360
R141113,R964532
R910323,R256838
R703727,R351684
R861516,R126992
R994999,R380958
R142201,R104327
R176805,R324181
R753803,R434022
R989291,R138573
R291332,R872038
R183535,R215531
R686304,R562468
R507141,R362129
R715934,R177455
R733333,R508106
R434185,R545796
R956805,R815641
R347422,R522759
R612037,R967861
R243992,R551649
R627896,R618314
R862102,R339369
R474207,R984070
R698747,R697835
R488673,R745305
R654243,R180484
R969089,R308352
R653809,R938886
R772782,R249877
R440343,R881270
R817957,R811607
R943863,R780031
R412362,R383756
R726068,R547226
R368006,R551948
R395836,R173313
R970159,R545602
R298428,R828921
R442001,R402748
R481483,R648555
R846034,R612340
R989814,R312677
R561001,R757478
R793676,R839635
R700971,R590674
R504909,R552587
R998040,R796305
R693354,R311179
R462360,R713529
R539384,R869987
R851557,R301821
R895303,R771230
R823014,R305821
R730554,R302118
R578368,R978230
R754167,R837393
R138150,R266938
R828673,R554150
R844923,R336961
R864282,R958932
R752229,R736906
R183600,R373123
R492465,R269596
R912929,R809009
R364037,R765401
R674260,R487020
R753339,R354364
R563168,R464870
R206953,R491513
R608422,R234141
R102526,R742267
R747573,R434487
R206398,R213727
R274992,R977137
R894998,R461101
R572039,R189775
R425703,R428006
R485705,R924420
R194624,R736384
R568959,R582330
R691826,R155469
R706766,R904777
R269972,R124892
R243907,R728448
R107838,R231237
R397957,R438681
R985100,R784493
R449312,R428549
R431502,R413839
R802894,R228745
R562133,R892365
R998884,R784925
R510394,R175306
R883111,R347437
R758386,R603923
R642999,R224786
R835550,R291328
R249284,R890646
R180468,R234896
R522874,R272865
R115021,R882950
R490323,R740330
R328029,R563346
R490991,R603735
R824245,R425342
R495996,R401908
R640769,R243381
R477815,R701120
R476738,R490444
R711798,R995286
R598447,R130325
R800228,R768229
R247925,R862463
R222250,R318326
R417154,R117080
R218809,R459773
R208797,R753508
R885931,R169148
R404641,R682642
R377184,R227662
R303366,R989355
R367497,R285478
R470471,R766045
R722304,R595757
R509942,R205949
R594882,R145224
R930228,R646959
R641329,R222014
R529486,R481174
R511577,R149905
R452185,R276252
R801982,R724709
R549415,R847211
R857193,R583836
R889080,R561362
R828363,R611283
R684180,R597501
R453950,R737165
R627425,R320818
R707575,R150807
R857177,R707987
R410573,R551940
R691127,R477638
R247851,R475501
R601998,R211208
R323520,R594219
R136582,R302472
R284537,R694678
R692758,R487862
R906051,R794109
R657942,R200257
R449510,R977885
R586622,R397246
R560233,R654281
R134877,R571793
R200889,R144080
R857863,R365989
R607913,R699500
R952083,R368724
R200630,R601880
R254800,R874309
R595728,R660461
R768898,R978372
R401622,R744246
R944156,R754190
R305708,R524034
R897327,R279041
R728119,R752301
R416714,R435783
R643595,R167359
R896592,R219663
R311767,R625915
R613487,R661820
R822114,R354592
R853366,R513685
R759436,R216736
R180476,R515234
R507012,R218637
R728662,R966697
R224751,R165203
R972497,R573667
R303545,R866490
R446821,R807415
R276761,R296536
R474871,R878944
R562041,R697660
R289222,R784570
R305635,R867033
R597270,R101702
R660318,R691607
R479238,R788431
R557429,R123524
R372960,R670714
R703796,R243214
R723966,R548217
R293762,R365157
R852774,R364759
R637796,R150958
R204511,R608678
R246119,R825472
R877659,R546894
R555055,R803567
R567834,R674291
R535495,R572853
R405662,R311356
R277382,R116940
R342325,R724124
R334853,R638754
R298212,R438635
R756104,R843237
R503341,R661452
R274487,R437104
R858422,R669289
R679317,R863856
R870201,R933265
R318952,R136262
R867696,R236279
R519323,R417957
R365400,R171280
R161128,R778702
R815375,R436804
R470490,R741078
R562080,R784512
R199537,R511254
R593870,R626729
R581964,R614790
R966392,R444863
R608185,R803810
R189370,R360485
R320059,R549487
R898191,R810245
R708604,R245681
R800819,R135550
R530978,R776188
R113875,R743309
R913490,R411943
R846527,R916333
R182697,R699744
R808715,R887826
R122180,R739254
R600469,R761854
R504525,R124472
R495933,R103247
R114606,R776595
R525491,R414476
R655921,R854046
R289757,R486218
R828568,R898426
R616429,R543771
R824109,R675018
R878967,R397883
R128340,R591765
R493661,R254692
R873921,R959426
R217867,R783737
R734525,R889061
R108330,R412780
R613891,R284962
R696666,R478611
R815320,R951720
R631043,R620007
R879485,R951814
R992958,R159031
R136883,R683425
R148617,R572837
R642917,R309880
R536265,R102161
R840874,R550410
R816626,R542266
R415751,R972008
R250136,R540362
R300035,R350289
R817098,R701209
R599851,R480113
R403641,R987150
R233138,R780621
R733733,R292486
R899701,R133609
